Date,Category,Amount,Payment_Mode,Month,Tax
19-10-2025,Food,2237,Online,September,224
20-10-2025,Entertainment,10644,Online,May,1064
20-10-2025,Entertainment,6357,Cash,February,636
20-10-2025,Shopping,4890,Card,March,489
20-10-2025,Utilities,14431,Card,August,1443
20-10-2025,Shopping,11643,Online,September,1164
21-10-2025,Transport,5110,Online,January,511
21-10-2025,Shopping,9308,Card,January,931
23-10-2025,Transport,7978,Cash,January,798
24-10-2025,Health,3089,Cash,June,309
24-10-2025,Shopping,12301,Card,December,1230
25-10-2025,Food,9619,Card,May,962
25-10-2025,Food,9253,Card,June,925
25-10-2025,Health,14098,Online,January,1410
25-10-2025,Shopping,1968,Card,July,197
26-10-2025,Transport,2213,Cash,October,221
29-10-2025,Entertainment,3813,Cash,January,381
31-10-2025,Shopping,7967,Card,February,797
31-10-2025,Utilities,10504,Cash,February,1050
02-11-2025,Health,3776,Cash,March,378
02-11-2025,Rent,11822,Cash,December,1182
02-11-2025,Transport,7521,Online,June,752
03-11-2025,Rent,6832,Online,January,683
05-11-2025,Rent,6250,Cash,January,625
05-11-2025,Utilities,11965,Online,June,1197
06-11-2025,Entertainment,1540,Cash,July,154
06-11-2025,Rent,4355,Cash,May,436
06-11-2025,Transport,6702,Online,February,670
07-11-2025,Utilities,10496,Online,April,1050
11-11-2025,Food,652,Cash,April,65
12-11-2025,Rent,8345,Online,September,835
12-11-2025,Entertainment,10439,Online,July,1044
12-11-2025,Rent,6530,Online,March,653
12-11-2025,Health,7537,Cash,March,754
14-11-2025,Shopping,11493,Online,June,1149
14-11-2025,Entertainment,1084,Card,March,108
14-11-2025,Transport,10277,Card,October,1028
15-11-2025,Rent,8732,Online,March,873
15-11-2025,Health,4748,Card,May,475
16-11-2025,Utilities,10917,Cash,September,1092
17-11-2025,Rent,2013,Online,March,201
18-11-2025,Entertainment,11753,Online,October,1175
19-11-2025,Utilities,14397,Cash,July,1440
20-11-2025,Shopping,10700,Cash,June,1070
21-11-2025,Rent,803,Card,June,80
21-11-2025,Entertainment,2482,Online,July,248
22-11-2025,Shopping,11745,Card,July,1175
22-11-2025,Rent,3474,Online,September,347
23-11-2025,Utilities,9984,Online,April,998
25-11-2025,Health,2963,Cash,May,296
27-11-2025,Entertainment,3349,Online,November,335
28-11-2025,Utilities,7497,Cash,January,750
28-11-2025,Rent,9544,Cash,May,954
29-11-2025,Food,9235,Online,May,924
29-11-2025,Entertainment,8313,Cash,February,831
29-11-2025,Entertainment,3698,Card,November,370
30-11-2025,Shopping,826,Online,February,83
30-11-2025,Utilities,14136,Online,August,1414
01-12-2025,Transport,1928,Card,August,193
02-12-2025,Shopping,14659,Online,February,1466
03-12-2025,Entertainment,4072,Cash,March,407
04-12-2025,Food,2389,Card,December,239
04-12-2025,Food,7526,Card,February,753
06-12-2025,Entertainment,2156,Card,December,216
09-12-2025,Transport,3474,Online,March,347
10-12-2025,Food,3480,Card,November,348
10-12-2025,Entertainment,6640,Cash,July,664
11-12-2025,Transport,11060,Cash,January,1106
14-12-2025,Health,3325,Cash,August,333
18-12-2025,Rent,10130,Card,February,1013
20-12-2025,Food,10562,Card,August,1056
20-12-2025,Transport,2262,Online,May,226
24-12-2025,Entertainment,9524,Online,October,952
25-12-2025,Utilities,2496,Online,December,250
26-12-2025,Health,13936,Cash,October,1394
27-12-2025,Rent,11230,Online,October,1123
27-12-2025,Rent,11403,Card,August,1140
27-12-2025,Rent,3653,Online,December,365
28-12-2025,Utilities,10304,Card,May,1030
29-12-2025,Shopping,12278,Online,May,1228
29-12-2025,Entertainment,14151,Card,August,1415
30-12-2025,Rent,14013,Cash,December,1401
30-12-2025,Health,5876,Online,June,588
01-01-2026,Shopping,11353,Cash,April,1135
01-01-2026,Utilities,10693,Card,September,1069
02-01-2026,Shopping,12308,Card,November,1231
03-01-2026,Utilities,6912,Online,April,691
03-01-2026,Transport,12871,Card,May,1287
04-01-2026,Shopping,11480,Online,March,1148
04-01-2026,Health,4803,Card,January,480
05-01-2026,Utilities,9318,Online,September,932
05-01-2026,Entertainment,5289,Online,September,529
05-01-2026,Entertainment,5490,Card,August,549
08-01-2026,Food,13644,Cash,July,1364
08-01-2026,Transport,14537,Card,November,1454
09-01-2026,Utilities,12445,Cash,August,1245
10-01-2026,Rent,719,Online,April,72
12-01-2026,Health,5184,Online,October,518
14-01-2026,Transport,8807,Online,May,881
14-01-2026,Entertainment,12832,Cash,August,1283
17-01-2026,Entertainment,11092,Card,December,1109
18-01-2026,Food,2845,Cash,July,285
18-01-2026,Rent,14627,Cash,November,1463
19-01-2026,Utilities,5004,Online,August,500
19-01-2026,Entertainment,5857,Cash,December,586
20-01-2026,Transport,11708,Cash,May,1171
20-01-2026,Health,6362,Card,January,636
21-01-2026,Shopping,9786,Cash,January,979
21-01-2026,Utilities,3324,Online,March,332
23-01-2026,Transport,9929,Online,October,993
23-01-2026,Food,7327,Card,April,733
27-01-2026,Health,12473,Online,January,1247
28-01-2026,Food,6995,Cash,February,700
28-01-2026,Rent,4540,Card,August,454
30-01-2026,Transport,5692,Online,February,569
31-01-2026,Rent,4712,Online,November,471
31-01-2026,Health,11777,Cash,September,1178
02-02-2026,Utilities,6880,Cash,July,688
02-02-2026,Entertainment,3862,Card,January,386
02-02-2026,Health,10288,Online,March,1029
02-02-2026,Health,7199,Card,April,720
05-02-2026,Entertainment,5545,Card,January,555
05-02-2026,Transport,12736,Card,October,1274
07-02-2026,Entertainment,3819,Online,February,382
07-02-2026,Health,4643,Cash,September,464
08-02-2026,Rent,13159,Cash,February,1316
09-02-2026,Health,5897,Cash,March,590
10-02-2026,Transport,4233,Cash,December,423
11-02-2026,Transport,2908,Online,August,291
12-02-2026,Rent,6376,Card,January,638
14-02-2026,Food,1100,Cash,September,110
14-02-2026,Entertainment,14239,Online,June,1424
14-02-2026,Rent,11887,Online,September,1189
14-02-2026,Entertainment,5116,Cash,December,512
15-02-2026,Health,4775,Card,January,478
17-02-2026,Entertainment,8457,Online,November,846
18-02-2026,Shopping,12157,Card,October,1216
18-02-2026,Shopping,3841,Card,November,384
21-02-2026,Food,13932,Card,November,1393
21-02-2026,Rent,3181,Cash,January,318
22-02-2026,Rent,2572,Online,January,257
23-02-2026,Transport,3814,Cash,September,381
25-02-2026,Food,14235,Cash,September,1424
25-02-2026,Entertainment,5852,Card,April,585
28-02-2026,Entertainment,225,Online,October,23
01-03-2026,Shopping,4053,Cash,May,405
02-03-2026,Utilities,14277,Cash,January,1428
02-03-2026,Entertainment,1086,Card,September,109
02-03-2026,Rent,10674,Online,March,1067
03-03-2026,Shopping,1812,Card,October,181
05-03-2026,Shopping,5303,Online,October,530
05-03-2026,Transport,11818,Cash,May,1182
06-03-2026,Transport,6453,Cash,March,645
06-03-2026,Entertainment,12039,Cash,September,1204
06-03-2026,Food,4531,Online,November,453
08-03-2026,Health,6913,Online,January,691
08-03-2026,Health,10461,Card,November,1046
08-03-2026,Rent,111,Card,August,11
08-03-2026,Food,10799,Card,July,1080
10-03-2026,Food,3316,Cash,June,332
11-03-2026,Health,10005,Card,February,1001
12-03-2026,Utilities,14746,Online,August,1475
12-03-2026,Rent,1158,Cash,July,116
14-03-2026,Entertainment,14194,Cash,July,1419
15-03-2026,Transport,9839,Online,October,984
16-03-2026,Entertainment,5529,Card,January,553
17-03-2026,Entertainment,1782,Card,November,178
21-03-2026,Shopping,3058,Card,June,306
23-03-2026,Rent,3339,Online,November,334
25-03-2026,Entertainment,1443,Card,December,144
25-03-2026,Health,9308,Cash,January,931
26-03-2026,Entertainment,9399,Cash,February,940
26-03-2026,Shopping,8132,Card,July,813
26-03-2026,Health,2456,Cash,February,246
26-03-2026,Utilities,4136,Online,June,414
28-03-2026,Shopping,11661,Cash,August,1166
29-03-2026,Entertainment,14651,Card,May,1465
29-03-2026,Transport,7127,Online,October,713
30-03-2026,Shopping,4267,Cash,April,427
30-03-2026,Utilities,9599,Cash,November,960
01-04-2026,Entertainment,7017,Online,April,702
01-04-2026,Transport,14763,Cash,February,1476
02-04-2026,Entertainment,7129,Cash,October,713
03-04-2026,Entertainment,7427,Card,August,743
03-04-2026,Shopping,2593,Card,January,259
04-04-2026,Food,12297,Card,December,1230
05-04-2026,Food,2872,Cash,April,287
06-04-2026,Transport,3255,Card,March,326
07-04-2026,Health,101,Online,March,10
08-04-2026,Entertainment,14677,Cash,August,1468
08-04-2026,Transport,869,Online,December,87
08-04-2026,Health,11994,Online,April,1199
09-04-2026,Health,2039,Card,November,204
09-04-2026,Food,1088,Cash,April,109
10-04-2026,Entertainment,9871,Cash,May,987
11-04-2026,Food,11029,Online,March,1103
12-04-2026,Rent,11230,Cash,April,1123
13-04-2026,Transport,13225,Cash,June,1323
14-04-2026,Utilities,11524,Cash,December,1152
15-04-2026,Rent,1150,Cash,February,115
16-04-2026,Rent,1298,Online,April,130
16-04-2026,Utilities,8984,Online,December,898
17-04-2026,Utilities,3566,Online,June,357
18-04-2026,Food,1804,Cash,January,180
18-04-2026,Rent,2852,Cash,March,285
19-04-2026,Transport,11800,Online,June,1180
20-04-2026,Transport,8006,Online,March,801
21-04-2026,Health,7024,Cash,February,702
22-04-2026,Transport,6887,Card,September,689
28-04-2026,Health,7861,Online,November,786
30-04-2026,Transport,7036,Online,July,704
01-05-2026,Utilities,10461,Card,June,1046
01-05-2026,Transport,3224,Online,October,322
03-05-2026,Utilities,12682,Online,September,1268
03-05-2026,Utilities,10332,Card,December,1033
04-05-2026,Shopping,891,Cash,March,89
06-05-2026,Entertainment,14788,Online,January,1479
06-05-2026,Shopping,10845,Online,October,1085
07-05-2026,Food,13246,Card,November,1325
07-05-2026,Rent,13381,Cash,February,1338
10-05-2026,Rent,12357,Online,April,1236
10-05-2026,Rent,6190,Cash,June,619
10-05-2026,Entertainment,7611,Card,December,761
12-05-2026,Entertainment,9087,Cash,September,909
13-05-2026,Transport,3888,Card,September,389
13-05-2026,Health,10376,Cash,March,1038
16-05-2026,Entertainment,1277,Cash,November,128
16-05-2026,Food,675,Cash,December,68
16-05-2026,Shopping,14010,Card,August,1401
18-05-2026,Rent,9027,Card,October,903
18-05-2026,Health,8079,Card,January,808
20-05-2026,Food,14849,Cash,April,1485
21-05-2026,Entertainment,12103,Online,December,1210
21-05-2026,Entertainment,9852,Cash,July,985
21-05-2026,Utilities,11858,Card,April,1186
21-05-2026,Food,13473,Cash,November,1347
21-05-2026,Food,5443,Online,May,544
22-05-2026,Health,4860,Online,May,486
25-05-2026,Food,10923,Cash,March,1092
25-05-2026,Utilities,10206,Card,September,1021
26-05-2026,Health,5995,Cash,April,600
27-05-2026,Food,734,Online,February,73
28-05-2026,Food,1691,Card,May,169
28-05-2026,Shopping,3527,Card,November,353
29-05-2026,Shopping,11663,Cash,July,1166
30-05-2026,Utilities,11228,Online,June,1123
30-05-2026,Utilities,4499,Online,December,450
01-06-2026,Transport,10160,Online,April,1016
01-06-2026,Food,2378,Online,December,238
01-06-2026,Utilities,8701,Card,June,870
02-06-2026,Shopping,5755,Card,February,576
02-06-2026,Utilities,7215,Online,December,722
03-06-2026,Health,1329,Online,March,133
03-06-2026,Rent,12146,Card,April,1215
04-06-2026,Entertainment,12021,Cash,April,1202
04-06-2026,Shopping,13131,Card,August,1313
09-06-2026,Health,14213,Cash,November,1421
10-06-2026,Utilities,1535,Online,May,154
10-06-2026,Rent,12422,Cash,September,1242
13-06-2026,Transport,12968,Online,April,1297
14-06-2026,Health,6182,Online,April,618
14-06-2026,Health,8542,Cash,February,854
14-06-2026,Shopping,13698,Online,June,1370
15-06-2026,Health,5891,Cash,February,589
15-06-2026,Health,9327,Cash,September,933
16-06-2026,Health,11973,Card,May,1197
16-06-2026,Health,3273,Card,December,327
18-06-2026,Health,1987,Card,January,199
21-06-2026,Food,554,Cash,October,55
21-06-2026,Food,10632,Cash,June,1063
24-06-2026,Shopping,6189,Cash,September,619
25-06-2026,Utilities,7825,Card,August,783
26-06-2026,Shopping,14946,Card,April,1495
26-06-2026,Entertainment,13480,Cash,May,1348
27-06-2026,Health,4311,Cash,November,431
30-06-2026,Entertainment,11085,Online,October,1109
01-07-2026,Food,7152,Card,August,715
02-07-2026,Shopping,8608,Online,April,861
03-07-2026,Transport,9296,Online,September,930
04-07-2026,Rent,13729,Card,February,1373
08-07-2026,Transport,14726,Online,April,1473
08-07-2026,Shopping,14551,Online,September,1455
09-07-2026,Transport,9231,Card,July,923
09-07-2026,Shopping,12698,Online,January,1270
10-07-2026,Rent,1488,Cash,March,149
10-07-2026,Shopping,6283,Card,January,628
11-07-2026,Utilities,8633,Online,August,863
13-07-2026,Food,14209,Cash,February,1421
16-07-2026,Entertainment,12903,Card,September,1290
17-07-2026,Health,11915,Cash,June,1192
17-07-2026,Transport,8565,Card,February,857
17-07-2026,Entertainment,4133,Cash,October,413
17-07-2026,Shopping,9838,Cash,July,984
17-07-2026,Food,10953,Card,July,1095
18-07-2026,Health,9866,Card,November,987
20-07-2026,Rent,13874,Card,April,1387
20-07-2026,Entertainment,6744,Online,May,674
22-07-2026,Transport,8941,Cash,July,894
23-07-2026,Rent,14726,Card,January,1473
23-07-2026,Health,582,Cash,May,58
24-07-2026,Utilities,10305,Cash,August,1031
24-07-2026,Food,6199,Cash,December,620
31-07-2026,Food,12747,Online,April,1275
31-07-2026,Utilities,10089,Card,December,1009
31-07-2026,Shopping,6981,Online,May,698
03-08-2026,Food,9020,Card,December,902
03-08-2026,Transport,8327,Cash,December,833
05-08-2026,Rent,4982,Online,July,498
08-08-2026,Entertainment,1842,Card,October,184
09-08-2026,Health,12255,Cash,March,1226
10-08-2026,Entertainment,8576,Card,August,858
10-08-2026,Food,6254,Online,August,625
10-08-2026,Transport,14310,Cash,October,1431
11-08-2026,Food,11471,Card,June,1147
12-08-2026,Rent,5209,Card,September,521
12-08-2026,Food,121,Cash,February,12
13-08-2026,Food,7590,Card,July,759
13-08-2026,Food,1489,Card,May,149
14-08-2026,Food,9731,Online,June,973
14-08-2026,Transport,5205,Card,March,521
15-08-2026,Food,5226,Cash,May,523
15-08-2026,Rent,12695,Card,July,1270
15-08-2026,Food,13431,Card,February,1343
15-08-2026,Shopping,14164,Cash,June,1416
15-08-2026,Transport,11845,Online,November,1185
15-08-2026,Food,11679,Online,November,1168
16-08-2026,Food,11066,Cash,November,1107
16-08-2026,Entertainment,12220,Card,May,1222
17-08-2026,Rent,4880,Card,February,488
18-08-2026,Rent,1236,Online,March,124
19-08-2026,Shopping,13142,Card,July,1314
20-08-2026,Transport,7573,Cash,August,757
20-08-2026,Rent,5563,Card,August,556
25-08-2026,Transport,11338,Card,November,1134
25-08-2026,Rent,10533,Cash,May,1053
27-08-2026,Food,5550,Cash,July,555
28-08-2026,Utilities,172,Cash,October,17
29-08-2026,Shopping,4699,Card,May,470
29-08-2026,Health,1904,Cash,June,190
30-08-2026,Shopping,3456,Cash,June,346
30-08-2026,Health,13060,Cash,September,1306
31-08-2026,Transport,7695,Online,June,770
01-09-2026,Utilities,13361,Online,March,1336
02-09-2026,Health,2836,Online,March,284
04-09-2026,Transport,11307,Cash,April,1131
07-09-2026,Health,8695,Cash,September,870
08-09-2026,Health,3046,Online,March,305
09-09-2026,Entertainment,11071,Card,May,1107
12-09-2026,Entertainment,13679,Cash,February,1368
13-09-2026,Transport,11409,Card,December,1141
14-09-2026,Shopping,9859,Online,March,986
14-09-2026,Utilities,3172,Cash,February,317
16-09-2026,Health,3596,Cash,November,360
18-09-2026,Transport,14094,Cash,July,1409
19-09-2026,Entertainment,10931,Cash,August,1093
19-09-2026,Rent,258,Cash,December,26
22-09-2026,Health,10003,Card,October,1000
22-09-2026,Entertainment,9007,Card,November,901
23-09-2026,Utilities,10101,Online,September,1010
23-09-2026,Food,6738,Card,April,674
25-09-2026,Food,7217,Cash,August,722
25-09-2026,Utilities,2840,Online,December,284
